,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Stanford GSB,1,1,2,4,4,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,3,1,1
Harvard,5,6,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,5,4,3,2
U Penn - Wharton,2,1,1,3,1,4,3,1,3,3,3,5,3,3,3,3,2,3,2,3,4,3,2,3,3,3,2,4,3
Chicago Booth,3,3,3,1,3,2,4,4,6,4,5,5,5,4,5,6,8,6,9,6,9,7,6,6,5,6,7,6,6
MIT Sloan,5,5,3,5,4,5,5,5,4,4,3,3,5,4,4,4,4,4,4,4,5,4,5,3,4,2,1,2,5
Northwestern - Kellogg,4,3,6,6,4,5,6,6,4,4,5,4,3,4,5,4,4,5,4,5,3,5,2,6,6,4,5,5,4
Columbia,7,8,6,9,9,10,8,8,8,8,9,9,9,9,9,7,9,6,6,8,6,6,7,3,7,8,12,11,8
Dartmouth Tuck,10,12,12,10,8,8,9,9,9,9,7,7,8,7,7,9,6,9,10,9,11,11,12,8,8,7,6,7,10
Virginia Darden,13,11,12,13,14,11,10,11,12,13,13,13,15,14,12,13,14,12,11,10,15,11,11,10,11,11,9,13,11
NYU Stern,10,10,12,13,12,20,11,10,10,11,10,9,11,10,10,13,13,14,12,13,12,14,13,14,13,13,17,17,18
Duke Fuqua,12,12,10,11,12,12,13,14,11,12,12,14,12,14,12,11,11,11,7,6,8,8,9,10,9,9,8,9,9
Yale SOM,9,9,9,11,9,8,13,13,13,10,10,11,10,13,14,15,15,14,14,13,12,16,15,15,15,18,16,19,16
Cornell Johnson,15,15,15,15,16,14,16,17,16,16,16,18,17,14,14,16,15,14,16,16,16,15,16,19,20,15,15,15,12
UT Austin McCombs,18,18,19,17,17,16,17,15,17,17,16,18,18,18,18,18,23,17,18,18,18,16,18,15,18,19,19,18,20
UNC Kenan-Flagler,20,20,19,19,18,16,18,19,20,19,19,21,20,19,18,20,21,21,21,17,18,18,16,15,16,17,18,16,17
Washington Foster,22,20,20,22,27,27,19,22,23,35,37,33,26,34,29,29,18,-,-,-,-,-,-,-,-,-,-,-,-
CMU Tepper,16,19,17,17,19,18,20,18,19,18,18,16,15,17,17,16,17,17,17,18,17,19,18,15,14,14,14,13,15
Emory Goizueta,26,22,22,20,20,19,21,20,18,19,23,27,22,24,20,18,18,19,21,22,23,21,21,21,23,22,23,22,>25
University of Minnesota - Carlson,28,28,28,28,32,27,27,33,23,30,21,24,,,,,,,,,,,,,,,,,
UIUC – Gies,Not Ranked,Not Ranked,Not Ranked,Not Ranked,40,39,47,35,47,37,37,42,,,,,,,,,,,,,,,,,
UC Davis,53,48,48,48,42,45,48,41,40,36,28,42,,,,,,,,,,,,,,,,,
UC Berkeley Haas,7,7,6,7,7,7,7,7,7,7,7,7,7,7,8,7,6,8,7,10,7,10,14,10,10,10,10,12,13
Michigan - Ross,13,12,10,7,11,12,11,11,14,13,14,12,13,12,11,11,10,10,13,10,10,9,7,10,12,12,11,8,7
UCLA Anderson,18,16,16,16,15,15,15,16,14,15,14,15,14,11,16,10,11,12,14,15,12,11,10,8,17,16,13,10,14
UC Irvine - Paul Merage,57,67,67,67,44,48,53,45,49,49,40,36,,,,,,,,,,,,,,,,,
UC San Diego - Rady,87,89,89,89,82,77,63,60,73,>100,>100,>100,,,,,,,,,,,,,,,,,
UC Riverside - A. Gary Anderson,>110,95,95,95,93,>100,>100,>100,>100,97,>100,>100,,,,,,,,,,,,,,,,,